search,date,sentiment
semeadura soja,2023-05-28 17:51:26.949276,0
semeadura soja,2023-05-28 17:51:26.950274,0
semeadura soja,2023-05-28 17:51:26.951271,0
semeadura soja,2023-05-28 17:51:26.952295,0
semeadura soja,2023-05-28 17:51:26.953264,0
semeadura soja,2023-05-28 17:51:26.954291,0
semeadura soja,2023-05-28 17:51:26.955287,0
semeadura soja,2023-05-28 17:51:26.956257,0
semeadura soja,2023-05-28 17:51:26.957257,0
semeadura soja,2023-05-28 17:51:26.958253,0
semeadura soja,2023-05-28 17:51:26.959250,0
semeadura soja,2023-05-28 17:51:26.960247,0
semeadura soja,2023-05-28 17:51:26.960247,0
semeadura soja,2023-05-28 17:51:26.962241,0
semeadura soja,2023-05-28 17:51:26.963267,0
semeadura soja,2023-05-28 17:51:26.964264,0
semeadura soja,2023-05-28 17:51:26.965233,0
semeadura soja,2023-05-28 17:51:26.966230,0
semeadura soja,2023-05-28 17:51:26.967228,0
semeadura soja,2023-05-28 17:51:26.968251,0
semeadura soja,2023-05-28 17:51:26.969222,0
semeadura soja,2023-05-28 17:51:26.970220,0
semeadura soja,2023-05-28 17:51:26.971217,0
semeadura soja,2023-05-28 17:51:26.972214,0
semeadura soja,2023-05-28 17:51:26.973212,0
semeadura soja,2023-05-28 17:51:26.976204,0
semeadura soja,2023-05-28 17:51:26.978198,0
semeadura soja,2023-05-28 17:51:26.979195,0
semeadura soja,2023-05-28 17:51:26.981190,0
semeadura soja,2023-05-28 17:51:26.983186,0
semeadura soja,2023-05-28 17:51:26.984183,0
semeadura soja,2023-05-28 17:51:26.986177,0
semeadura soja,2023-05-28 17:51:26.988173,0
semeadura soja,2023-05-28 17:51:26.989170,0
